species,long,lat
bradypus_variegatus,-65.4,-10.3833
bradypus_variegatus,-65.3833,-10.3833
bradypus_variegatus,-65.1333,-16.8
bradypus_variegatus,-63.6667,-17.45
bradypus_variegatus,-63.85,-17.4
bradypus_variegatus,-64.4167,-16
bradypus_variegatus,-63.1667,-17.8
bradypus_variegatus,-56.7333,-2.6
bradypus_variegatus,-59.1333,-3.7
bradypus_variegatus,-60.0833,-3.1333
bradypus_variegatus,-64.8333,-0.5167
bradypus_variegatus,-60.0167,-3.1333
bradypus_variegatus,-62.0833,-3.8333
bradypus_variegatus,-40.0667,-19.3333
bradypus_variegatus,-52.6667,-3.8333
bradypus_variegatus,-49.5,-1
bradypus_variegatus,-55.55,-1.9167
bradypus_variegatus,-52.2,-1.7
bradypus_variegatus,-54.9833,-2.75
bradypus_variegatus,-55.5,-3.6667
bradypus_variegatus,-55.1333,-2.8333
bradypus_variegatus,-55,-2.4333
bradypus_variegatus,-54.7,-2.4333
bradypus_variegatus,-55.1,-3.0833
bradypus_variegatus,-55.2833,-3.45
bradypus_variegatus,-49.6833,-2.6833
bradypus_variegatus,-49.5,-2.25
bradypus_variegatus,-49.5,-2.5833
bradypus_variegatus,-46.7333,-23.45
bradypus_variegatus,-69.95,-4.15
bradypus_variegatus,-76.2667,7.0167
bradypus_variegatus,-75.5833,6.25
bradypus_variegatus,-76.7167,8.1
bradypus_variegatus,-75.05,7.35
bradypus_variegatus,-75.0667,9.9667
bradypus_variegatus,-74,10.3
bradypus_variegatus,-73.4333,10.15
bradypus_variegatus,-76.6833,5.1
bradypus_variegatus,-77.7667,7.1167
bradypus_variegatus,-76.6667,5.7
bradypus_variegatus,-76.95,5.05
bradypus_variegatus,-77.1667,7.6667
bradypus_variegatus,-77.1167,8.0167
bradypus_variegatus,-75.6833,8.2833
bradypus_variegatus,-74.7333,9.1167
bradypus_variegatus,-76.2833,7.85
bradypus_variegatus,-74.3,4.5833
bradypus_variegatus,-67.9333,3.8667
bradypus_variegatus,-71.3167,12.35
bradypus_variegatus,-73.6167,4.15
bradypus_variegatus,-78.15,1.6833
bradypus_variegatus,-72.5833,8.5
bradypus_variegatus,-72.5167,7.9
bradypus_variegatus,-74.7667,-0.2
bradypus_variegatus,-75.3333,0.4667
bradypus_variegatus,-73.9167,7.1667
bradypus_variegatus,-75.4,9.3
bradypus_variegatus,-75.35,9.5
bradypus_variegatus,-76.9333,4
bradypus_variegatus,-77.0833,3.6833
bradypus_variegatus,-84.5,10.3333
bradypus_variegatus,-83.6333,9.8833
bradypus_variegatus,-84.0167,10.6333
bradypus_variegatus,-83.5667,9.9167
bradypus_variegatus,-83.4667,8.95
bradypus_variegatus,-79.65,-3.7167
bradypus_variegatus,-79.4667,0.3333
bradypus_variegatus,-79.75,-1.5333
bradypus_variegatus,-79.6,-0.4667
bradypus_variegatus,-77.1333,-0.7
bradypus_variegatus,-77.95,-1.4833
bradypus_variegatus,-79.15,-0.25
bradypus_variegatus,-85.9333,13.1833
bradypus_variegatus,-83.7,10.9333
bradypus_variegatus,-84.5333,13.95
bradypus_variegatus,-84.4333,12.15
bradypus_variegatus,-83.7667,12.15
bradypus_variegatus,-82.4,9.3
bradypus_variegatus,-82.5167,9.45
bradypus_variegatus,-81.8,8.9333
bradypus_variegatus,-82.7833,9.6
bradypus_variegatus,-82.25,9.1833
bradypus_variegatus,-79.8167,9.1667
bradypus_variegatus,-79.9333,9.25
bradypus_variegatus,-79.9833,9.25
bradypus_variegatus,-79.9,9.2167
bradypus_variegatus,-79.6,9.2833
bradypus_variegatus,-77.3,8.1667
bradypus_variegatus,-77.6,8
bradypus_variegatus,-77.75,8.1
bradypus_variegatus,-77.7333,8.1333
bradypus_variegatus,-78.3667,7.9667
bradypus_variegatus,-77.4333,7.9833
bradypus_variegatus,-79.5833,8.95
bradypus_variegatus,-79.85,9.15
bradypus_variegatus,-79.35,9.2333
bradypus_variegatus,-79.8,8.8667
bradypus_variegatus,-79.6,8.9
bradypus_variegatus,-77.1167,-4.65
bradypus_variegatus,-74.0833,-2.3667
bradypus_variegatus,-73.25,-3.7667
bradypus_variegatus,-74.2167,-4.8333
bradypus_variegatus,-72.1,-3.3167
bradypus_variegatus,-72.1333,-3.4333
bradypus_variegatus,-73.05,-3.4667
bradypus_variegatus,-74.2167,-4.7
bradypus_variegatus,-75.1,-6.7333
bradypus_variegatus,-76.05,-5.8333
bradypus_variegatus,-74.5333,-8.3833
bradypus_variegatus,-65.55,3.1667
bradypus_variegatus,-65.9167,3.0833
bradypus_variegatus,-66.2167,5.3
bradypus_variegatus,-67.6833,10.3667
bradypus_variegatus,-68.3833,10.5333
bradypus_variegatus,-66.8333,10.3667
bradypus_variegatus,-72.6,9.15
