"name","longitude","latitude","prov","date","key"
"Sceloporus occidentalis",-120.65935,37.82038,"gbif","2016-03-16",1262381503
"Pseudacris regilla",-121.98533,40.4388299990685,"gbif","2003-06-25",543583266
"Gehyra variegata",137.406,-20.977,"gbif","2009-04-12",1085956160
"Lampropholis delicata",150.59459,-34.5286200331773,"gbif","2012-04-01",1074452855
"Zootoca vivipara",10.36416,59.90325,"gbif","2015-07-31",1238773985
"Chamaeleo dilepis",29.45,-23.81667,"gbif","1916-11-19",287041669
"Rana pretiosa",-116.8,49.133,"gbif","1977-06-04",78153261
"Ctenotus taeniolatus",150.99933,-33.9865800324286,"gbif","2013-05-10",1070380319
"Zootoca vivipara",17.832,58.9976,"gbif","2015-08-06",1135060217
"Egernia cunninghami",151.05,-29.266,"gbif","1980-12-31",1100366645
"Anolis lemurinus",-91.564,16.588,"gbif","1962-07-17",370783304
"Psammodromus algirus",-5.77,40.3,"gbif",NA,165005958
"Psammodromus algirus",-6.09246,37.57859,"gbif","2015-05-19",1098958790
"Craugastor fleischmanni",-84.1833,10.2167,"gbif","1961-05-04",686771140
"Anaxyrus debilis",-109.545,31.37361,"gbif","1985-06-22",543539459
"Eremiascincus richardsonii",137.27687,-31.17954,"gbif","2008-11-18",728014567
"Zootoca vivipara",10.79501,60.03208,"gbif","2016-05-07",1272933965
"Tiliqua rugosa",138.61357,-32.03394,"gbif","2011-09-15",728039971
"Eurycea bislineata",-71.20722,43.14667,"gbif","2000-07-11",675716499
"Dipsosaurus dorsalis",-114.741340416409,30.805788730905,"gbif","1967-06-11",657437628
"Gehyra variegata",133.95083,-23.73971,"gbif","2011-01-08",691154071
"Liolaemus bibronii",-66.36156,-42.22744,"gbif",NA,1211938830
"Tiliqua rugosa",145.66121,-34.6386200333262,"gbif","2007-10-31",1070389162
"Desmognathus fuscus",-78.65635,39.70481,"gbif","2015-11-05",1211989258
"Zootoca vivipara",9.86164,52.68121,"gbif","2014-04-25",923884836
"Psammodromus algirus",0.07,41.29,"gbif",NA,165008050
"Zootoca vivipara",11.75899,46.28484,"gbif","2015-06-28",1099964751
"Notechis scutatus",150.90698,-32.2882500299385,"gbif","2003-12-02",1074795001
"Anolis lemurinus",-85.0833,10.6167,"gbif","1951-06-25",686739984
"Austrelaps superbus",148.56694,-36.3446500354908,"gbif","1979-03-11",1074989304
"Pseudacris regilla",-124.22882,41.78348,"gbif","2010-03-08",358967075
"Egernia saxatilis",146.8,-36.45,"gbif","1979-10-12",478660539
