"Month","published","Date"
"2005-10",1,2005-10-01
"2006-03",2,2006-03-01
"2006-05",4,2006-05-01
"2006-08",5,2006-08-01
"2007-10",6,2007-10-01
"2008-04",7,2008-04-01
"2008-05",8,2008-05-01
"2008-06",9,2008-06-01
"2008-08",11,2008-08-01
"2008-09",12,2008-09-01
"2008-10",14,2008-10-01
"2008-11",16,2008-11-01
"2009-01",17,2009-01-01
"2009-02",18,2009-02-01
"2009-04",22,2009-04-01
"2009-05",24,2009-05-01
"2009-06",26,2009-06-01
"2009-08",30,2009-08-01
"2009-09",32,2009-09-01
"2009-10",34,2009-10-01
"2009-11",38,2009-11-01
"2009-12",39,2009-12-01
"2010-01",41,2010-01-01
"2010-02",44,2010-02-01
"2010-03",48,2010-03-01
"2010-04",49,2010-04-01
"2010-05",55,2010-05-01
"2010-06",59,2010-06-01
"2010-07",61,2010-07-01
"2010-08",63,2010-08-01
"2010-09",64,2010-09-01
"2010-10",67,2010-10-01
"2010-12",71,2010-12-01
"2011-01",73,2011-01-01
"2011-02",80,2011-02-01
"2011-03",84,2011-03-01
"2011-04",86,2011-04-01
"2011-05",91,2011-05-01
"2011-06",96,2011-06-01
"2011-07",98,2011-07-01
"2011-08",104,2011-08-01
"2011-09",110,2011-09-01
"2011-10",112,2011-10-01
"2011-11",116,2011-11-01
"2011-12",126,2011-12-01
"2012-01",137,2012-01-01
"2012-02",156,2012-02-01
"2012-03",165,2012-03-01
"2012-04",192,2012-04-01
"2012-05",208,2012-05-01
"2012-06",233,2012-06-01
"2012-07",255,2012-07-01
"2012-08",292,2012-08-01
"2012-09",337,2012-09-01
"2012-10",359,2012-10-01
"2012-11",527,2012-11-01
"2012-12",550,2012-12-01
"2013-01",581,2013-01-01
"2013-02",623,2013-02-01
"2013-03",664,2013-03-01
"2013-04",703,2013-04-01
"2013-05",751,2013-05-01
"2013-06",798,2013-06-01
"2013-07",835,2013-07-01
"2013-08",869,2013-08-01
"2013-09",914,2013-09-01
"2013-10",959,2013-10-01
"2013-11",1000,2013-11-01
"2013-12",1048,2013-12-01
"2014-01",1130,2014-01-01
"2014-02",1186,2014-02-01
"2014-03",1234,2014-03-01
"2014-04",1307,2014-04-01
"2014-05",1361,2014-05-01
"2014-06",1402,2014-06-01
"2014-07",1450,2014-07-01
"2014-08",1507,2014-08-01
"2014-09",1579,2014-09-01
"2014-10",1654,2014-10-01
"2014-11",1705,2014-11-01
"2014-12",1776,2014-12-01
"2015-01",1857,2015-01-01
"2015-02",1934,2015-02-01
"2015-03",2029,2015-03-01
"2015-04",2096,2015-04-01
"2015-05",2174,2015-05-01
"2015-06",2258,2015-06-01
"2015-07",2341,2015-07-01
"2015-08",2493,2015-08-01
"2015-09",2585,2015-09-01
"2015-10",2687,2015-10-01
"2015-11",2780,2015-11-01
"2015-12",2870,2015-12-01
"2016-01",2969,2016-01-01
"2016-02",3071,2016-02-01
"2016-03",3202,2016-03-01
"2016-04",3341,2016-04-01
"2016-05",3475,2016-05-01
"2016-06",3581,2016-06-01
"2016-07",3685,2016-07-01
"2016-08",3840,2016-08-01
"2016-09",3995,2016-09-01
"2016-10",4168,2016-10-01
"2016-11",4317,2016-11-01
"2016-12",4460,2016-12-01
"2017-01",4650,2017-01-01
"2017-02",4808,2017-02-01
"2017-03",4965,2017-03-01
"2017-04",5170,2017-04-01
"2017-05",5374,2017-05-01
"2017-06",5587,2017-06-01
"2017-07",5776,2017-07-01
"2017-08",5987,2017-08-01
"2017-09",6177,2017-09-01
"2017-10",6390,2017-10-01
"2017-11",6625,2017-11-01
"2017-12",6858,2017-12-01
"2018-01",7025,2018-01-01
"2018-02",7358,2018-02-01
"2018-03",7649,2018-03-01
"2018-04",8015,2018-04-01
"2018-05",8453,2018-05-01
"2018-06",9065,2018-06-01
"2018-07",9544,2018-07-01
"2018-08",10073,2018-08-01
"2018-09",10609,2018-09-01
"2018-10",11050,2018-10-01
"2018-11",11674,2018-11-01
"2018-12",12329,2018-12-01
"2019-01",12854,2019-01-01
